id,Names,ScreenNames,Tweets,Labels
804471516058390528,a.k.a.CRUSH,_akaCRUSH,#PineappleExpress (2008) #Bluray #Steelbook #BestBuy #SethRogen #JamesFranco #AmberHeard #ProjectPopArt https://t.co/R5dxwc0r8n via @YouTube
804469353563328512,a.k.a.CRUSH,_akaCRUSH,#BoyzNTheHood (1991) #Bluray #Steelbook #BestBuy | #IceCube #CubaGoodingJr #NiaLong #ProjectPopArt https://t.co/8nT13Xztfu via @YouTube
804468328811167744,gerard desilets,gerdesilets,"#BESTBUY VEUT PAS VENDRE D""ORDIS AU QUEBEC
https://t.co/NwE3VIzkmm"
804467931996241920,Johnny Depp Fans,JohnnyDeppFans7,#Entertainment #JohnnyDepp #Autograph 4x6 Photo Sweeney Todd Weimaraner Rescue Charity https://t.co/tKCqsQfH0H… https://t.co/Z0eqXUycMW
804465539259060225,Warrior Raider Bully,exclusivetonyd,@DevanRhode yet u still making time now go fill out that application #bestbuy ✌
804464986344931328,Johnny Depp Fans,JohnnyDeppFans7,"❤#Entertainment Alice in Wonderland DVD, #JohnnyDepp, Mia Wasikowska, Tim Burton #Auction #BestBuy https://t.co/TAwc8zIikg"
804463511518617600,Myong _Wisley,Myong_Wisley,#Music #Movie #CarrieUnderwood Greatest Hits: Decade https://t.co/nvv5eJgLhK #BestBuy #Sale https://t.co/wO4jvHAz0u
804463502286983168,Johnny Depp Fans,JohnnyDeppFans7,#Entertainment Walt Disney's Pirates of the Caribbean quadrilogy on DVD. #JohnnyDepp! https://t.co/kRxhV4GBGi… https://t.co/s8jPGmUHXA
804460341249777664,San Antonio Jobs,jobsplentysa,LG Experience Expert #SanAntonio #SanAntonioTX #BestBuy https://t.co/qv7yh1vDbk #jobsearch #hiring
804459767066398724,JAYoga,JaYogaStar,#SpecialEditionYoga910Glass Available exclusively at #BestBuy only 4000 produced! #PremiumStars #IAmLenovo https://t.co/i1pkAAI7yt
804458867295854597,Johnny Depp Fans,JohnnyDeppFans7,"#Entertainment Edward Scissorhands (Digital HD) #JohnnyDepp, Winona Ryder, Dianne Wiest https://t.co/STeSxD94o3… https://t.co/NZT8IuWdMy"
804457717519659008,Johnny Depp Fans,JohnnyDeppFans7,"❤❤#Entertainment FINDING NEVERLAND - #JohnnyDepp, Kate Winslet, Dustin Hoffman - DVD #Auction #BestBuy https://t.co/hM7EhqUD23"
804456900200759296,Jodi Kershuk,AgitatedMama,I just entered to win a prize from #BestBuy @ The Highlands! https://t.co/aI2I4Rjrw7
804455809375604736,Doug R,EmptyBoxes,@BestBuyCanada cancelled my online order without any explanation and the customer service email is dead. Last time I shop at #BestBuy
804454079007072256,Myong _Wisley,Myong_Wisley,#Music #Movie #CarrieUnderwood - Hand Signed 8x10 - Autographed Photo - Hologram coa https://t.co/Q5zDxT8KsI… https://t.co/dn6LwGxLaR
804454060296286209,Johnny Depp Fans,JohnnyDeppFans7,#Entertainment #JohnnyDepp #Autograph 4x6 Photo 3 Pirates Weimaraner Rescue Charity https://t.co/eMHO44TilR… https://t.co/PnpoudDTTr
804452471733002240,Warrior Raider Bully,exclusivetonyd,@DevanRhode geek squad is hiring... Just thought u should know... #bestbuy
804449392027516929,Myong _Wisley,Myong_Wisley,#Music #Movie #CarrieUnderwood storyteller https://t.co/O3Any8eV19 #BestBuy #Sale https://t.co/F0uAd9NHZg
804449388110094336,Johnny Depp Fans,JohnnyDeppFans7,"#Entertainment Alice in Wonderland DVD, #JohnnyDepp, Mia Wasikowska, Tim Burton https://t.co/IjtmxmifrK #Auction #BestBuy"
